Well Name,Fluid volume (m3)Exe,Proppant/Exe,AOFkm3/d,Formation
SN0002-01,359.8,50.6,40.16,He8
SN0002-03,415.9,33.7,48.6,He8
SN0002-05,238.4,28.6,13.68,He8
SN0003-01,237.9,28.6,0.0,He8
SN0003-02,195.6,5.0,97.5,He8
SN0003-04,241.5,25.4,31.6,Shan1
SN0003-05,261.6,22.1,51.9,He8
SN0004-08,384.0,38.8,353.45,Shan1
SN0007-03,286.9,23.7,38.68696394,He8
SN0008-07,402.5,47.4,118.8188152,Shan1
SN0012-01,217.6,15.9,90.7191536,Shan1
SN0012-02,572.4,60.0,218.7486405,Shan1
SN0015-09,401.6,43.2,146.8757785,He8
SN0016-04,367.9,40.6,105.197,He8
SN0017-05,308.3,30.3,52.095,Shan1
SN0017-08,490.2,44.9,230.788,He8
SN0017-09,407.4,40.0,140.436,He8
SN0018-06,372.1,39.8,125.319,He8
SN0018-08,364.0,37.1,82.532,He8
SN0021-09,361.8,37.8,81.1,He8
SN0023-04,255.2,26.1337209302326,2.5,Shan1
SN0023-05,188.9,23.6,118.49,Shan1
SN0023-07,189.1,19.3,77.89,Shan1
SN0024-02,232.1,28.6,33.66,He8
SN0029-01,277.4,27.7,187.4890197,Shan1
SN0029-02,377.0,37.9,143.6762911,He8
SN0029-03i,416.1,36.8,95.55389855,He8
SN0029-05,258.5,23.7,65.92476206,Shan1
SN0029-09,425.8,43.3,69.86739959,He8
SN0033-09,356.8,36.2,108.3939651,He8
SN0035-01,224.3,19.9,57.69861103,He8
SN0035-04,444.5,54.3,181.4206311,He8
SN0035-07,304.8,36.2,47.69459013,He8
SN0035-09,268.8,31.2,49.45121469,He8
SN0037-01,382.2,45.1,81.98365406,Shan1
SN0037-02,423.8,40.3,59.52427148,He8
SN0037-06,297.9,27.9,323.3201718,He8
SN0037-07,311.4,30.0,116.8820701,He8
SN0037-08,319.0,27.8,59.21491712,He8
SN0039-02i,478.0,50.6,291.025425,He8
